timestamp,open,high,low,close,volume
2025-01-01 00:00:00,45044.7,45190.58,44684.58,45027.47,886.75
2025-01-01 01:00:00,45006.38,45937.73,44900.74,45762.14,1439.2
2025-01-01 02:00:00,45719.72,45775.03,45116.74,45552.51,174.11
2025-01-01 03:00:00,45501.28,45572.78,44881.24,45085.93,385.13
2025-01-01 04:00:00,45218.09,45233.36,44839.5,45161.22,740.39
2025-01-01 05:00:00,45171.24,45256.09,44562.26,44696.49,959.25
2025-01-01 06:00:00,44642.7,45517.33,44406.61,45514.25,1606.5
2025-01-01 07:00:00,45403.12,45989.61,45101.6,45543.36,1129.32
2025-01-01 08:00:00,45610.62,45760.84,45541.95,45734.39,287.88
2025-01-01 09:00:00,45668.55,45909.94,45425.67,45503.85,154.54
2025-01-01 10:00:00,45533.35,45687.46,45264.68,45403.54,1544.01
2025-01-01 11:00:00,45488.11,45558.43,45077.06,45151.85,1561.69
2025-01-01 12:00:00,45108.58,45358.1,44800.37,45069.94,1414.83
2025-01-01 13:00:00,45192.19,45431.66,45110.47,45204.84,680.24
2025-01-01 14:00:00,45237.51,45986.76,44883.61,45978.52,100.0
2025-01-01 15:00:00,46054.1,46209.22,46032.97,46140.24,100.0
2025-01-01 16:00:00,46119.97,46673.15,46000.46,46330.79,641.46
2025-01-01 17:00:00,46284.3,46831.12,46161.7,46754.27,1358.17
2025-01-01 18:00:00,46763.35,47428.99,46686.73,47263.08,910.81
2025-01-01 19:00:00,47124.74,47373.17,47123.54,47311.41,922.32
2025-01-01 20:00:00,47177.48,47258.33,46837.57,47026.21,951.42
2025-01-01 21:00:00,47064.21,48040.9,47003.61,47999.0,1161.4
2025-01-01 22:00:00,47814.8,47864.35,47225.9,47849.94,911.17
2025-01-01 23:00:00,47878.79,48190.01,47605.21,47910.05,1382.5
2025-01-02 00:00:00,47985.85,48322.42,47263.84,47597.46,1374.37
2025-01-02 01:00:00,47805.98,47941.34,47356.64,47380.25,837.32
2025-01-02 02:00:00,47233.31,47564.23,47121.46,47312.93,557.14
2025-01-02 03:00:00,47459.59,47536.01,46943.59,47135.32,452.89
2025-01-02 04:00:00,47156.76,48204.68,47113.23,47820.33,1270.66
2025-01-02 05:00:00,47895.1,48211.32,47226.99,47350.56,1262.19
2025-01-02 06:00:00,47374.28,47747.58,47319.26,47585.78,1191.18
2025-01-02 07:00:00,47517.79,48566.68,47234.75,48451.89,1524.85
2025-01-02 08:00:00,48357.44,49069.03,48159.01,48786.41,1570.4
2025-01-02 09:00:00,48826.68,49744.24,48766.78,49276.9,715.34
2025-01-02 10:00:00,49189.23,49208.19,48753.82,48837.13,1209.93
2025-01-02 11:00:00,48917.92,49329.12,48853.19,48973.2,2371.38
2025-01-02 12:00:00,49034.48,49297.04,48545.82,48663.22,963.98
2025-01-02 13:00:00,48732.71,49029.91,48526.37,49012.06,299.9
2025-01-02 14:00:00,48968.29,49489.54,48663.28,49436.62,1182.23
2025-01-02 15:00:00,49474.72,49512.75,49072.62,49086.91,506.9
2025-01-02 16:00:00,49122.04,49714.39,48863.21,49446.63,377.24
2025-01-02 17:00:00,49353.88,49784.99,49226.78,49657.43,2987.87
2025-01-02 18:00:00,49714.12,50568.44,49552.21,50328.37,965.92
2025-01-02 19:00:00,50404.77,50464.45,49944.13,50065.63,1108.22
2025-01-02 20:00:00,50297.4,50469.99,49010.1,49408.51,940.76
2025-01-02 21:00:00,49516.12,49864.73,49339.03,49597.47,1356.23
2025-01-02 22:00:00,49525.02,49693.06,49363.66,49681.74,2103.62
2025-01-02 23:00:00,49744.73,49791.11,48625.64,48787.07,1618.73
2025-01-03 00:00:00,48709.75,48832.73,48491.74,48702.57,401.33
2025-01-03 01:00:00,48669.99,48828.97,48059.49,48487.5,1239.99
2025-01-03 02:00:00,48365.23,49375.93,48115.55,48857.52,342.1
2025-01-03 03:00:00,48810.2,49652.46,48701.88,49477.39,1524.01
2025-01-03 04:00:00,49385.67,50206.34,49132.72,49405.66,877.76
2025-01-03 05:00:00,49282.36,50494.64,49173.93,50136.13,1238.61
2025-01-03 06:00:00,50280.65,50573.08,49606.44,49608.97,642.83
2025-01-03 07:00:00,49654.82,49952.78,49637.49,49803.32,837.25
2025-01-03 08:00:00,49814.63,50592.32,49506.32,50194.28,2142.73
2025-01-03 09:00:00,49998.31,50145.39,49902.21,49972.42,693.83
2025-01-03 10:00:00,49951.62,50098.82,49543.95,49755.31,1217.81
2025-01-03 11:00:00,49686.36,50260.13,49484.42,50183.02,1414.77
2025-01-03 12:00:00,50099.82,50287.02,49717.08,49869.27,1035.57
2025-01-03 13:00:00,49880.97,50717.74,49744.52,50568.16,1036.67
2025-01-03 14:00:00,50546.15,51363.19,50340.55,51152.08,1772.62
2025-01-03 15:00:00,51154.23,51634.21,51071.32,51554.24,1013.12
2025-01-03 16:00:00,51564.24,52135.11,51024.77,51922.69,566.51
2025-01-03 17:00:00,51796.6,52655.87,51634.96,52448.26,1439.98
2025-01-03 18:00:00,52446.98,52466.85,51852.68,52028.84,1567.29
2025-01-03 19:00:00,52013.54,52097.12,51529.57,51636.18,790.69
2025-01-03 20:00:00,51551.27,51791.8,51420.6,51728.44,798.85
2025-01-03 21:00:00,51752.45,52116.65,50871.38,51054.78,1028.08
2025-01-03 22:00:00,51086.53,52113.85,51045.68,51891.32,1148.03
2025-01-03 23:00:00,51787.28,51904.28,51703.72,51829.48,594.53
2025-01-04 00:00:00,51883.31,52759.11,51779.1,52730.43,1508.35
2025-01-04 01:00:00,52688.12,52862.21,52662.39,52858.88,645.9
2025-01-04 02:00:00,52861.47,53563.42,52607.93,53177.58,2136.39
2025-01-04 03:00:00,53095.97,53661.38,52514.62,53612.23,693.08
2025-01-04 04:00:00,53522.19,54090.57,53114.91,53254.91,670.37
2025-01-04 05:00:00,53270.93,54008.19,53017.78,53506.25,755.72
2025-01-04 06:00:00,53410.11,54080.91,52921.02,53726.26,1648.91
2025-01-04 07:00:00,53675.84,54039.19,52779.73,52809.98,1780.22
2025-01-04 08:00:00,52641.58,52642.96,52366.39,52378.7,824.9
2025-01-04 09:00:00,52443.94,52481.28,51905.25,51936.49,1353.98
2025-01-04 10:00:00,52010.4,52409.35,51148.63,51477.48,1268.62
2025-01-04 11:00:00,51400.42,52279.34,51097.34,52249.12,1198.87
2025-01-04 12:00:00,52464.47,53504.38,52209.6,53437.86,1508.22
2025-01-04 13:00:00,53584.13,53767.94,52839.55,53120.67,207.12
2025-01-04 14:00:00,52994.96,53066.35,51780.82,51967.27,1945.1
2025-01-04 15:00:00,51974.97,53238.27,51532.3,52873.41,1145.09
2025-01-04 16:00:00,52914.03,53496.99,52890.45,52949.64,354.5
2025-01-04 17:00:00,53020.56,53518.28,52884.33,53267.95,517.05
